domestic_revenue,title
"$620,181,382",Star Wars: Episode VIII - The Last Jedi
"$168,052,812",Kong: Skull Island
"$146,880,162",War for the Planet of the Apes
"$172,558,876",Pirates of the Caribbean: Dead Men Tell No Tales
"$176,040,665",Get Out
"$152,901,115",Cars 3
"$169,607,287",Hidden Figures
"$404,515,480",Jumanji: Welcome to the Jungle
"$175,003,033",The Boss Baby
"$229,024,295",Justice League
"$175,750,384",The Lego Batman Movie
"$209,726,015",Coco
"$188,045,546",Dunkirk
"$226,008,385",The Fate of the Furious
"$264,624,300",Despicable Me 3
"$9,956",Made in France
"$226,277,068",Logan
"$18,123",Peter and the Farm
"$14,360",Justice Is Mind
"$31,747",Paths of the Soul
"$10,656",National Bird
"$27,099",The Eyes of My Mother
"$51,996",My Annoying Brother
$742,Amityville: The Awakening
$543,La folle histoire de Max et Léon
"$21,147",NightLights
"$23,487",The Hill Chris Climbed: The Gridiron Heroes Story
"$20,507",This Last Lonely Place
"$159,305",The Witness
"$8,171",Anatahan
$422,2:22
"$22,517",The Black Dove
"$34,249",Off the Rails
"$1,126",The Student
"$298,525",Christine
"$436,798",I Am Not Madame Bovary
"$9,103",Julian Schnabel: A Private Portrait
"$3,518",The Loving Story
"$18,177",The Lion in Winter
$880,Extraordinary Ordinary People
"$17,102",Always Shine
"$890,303",Believe
$976,The Penguin Counters
"$1,172",A Different American Dream
"$1,227",It's Not Yet Dark
"$3,000",The Ghosts of Johnson Woods
"$27,000",Level Five
"$56,853",The Battle of Algiers
"$19,705",The Romans
"$1,455",The Outcasts
"$18,215",Clash
"$765,154",The Polar Express
"$1,410",The Forest for the Trees
"$72,791",Do Not Resist
"$18,340","Intent to Destroy: Death, Denial & Depiction"
"$1,481",Almost Friends
"$20,431",Never
"$45,878",The Greasy Strangler
"$8,944",Magnus
"$2,255",Red Christmas
"$1,788",Detour
"$105,036",Under the Sun
"$1,940","Accidental Courtesy: Daryl Davis, Race & America"
"$107,977",In Between
"$43,616",A Grin Without A Cat
"$2,537",Miles
"$20,205",New World Order
"$2,032",The Ghoul
"$2,077",Dayveon
"$2,208",7 from Etheria
"$2,583",Take Me
"$2,223",Behind the White Glasses
"$2,923",Kepler's Dream
"$32,757",No Home Movie
"$2,848",1898: Our Last Men in the Philippines
"$2,900",Demons
"$46,654",Tanna
"$2,578",Apprentice
"$6,226",The Bad Kids
"$2,640",Daughter of the Nile
"$2,684",Santoalla
"$3,259",Justice
"$2,739",I Dream in Another Language
"$3,040",The Levelling
"$101,987",Tower
"$13,463",Spices of Liberty
"$17,099",On the Map
"$3,742",Bugs
"$3,262",Planetarium
"$55,038",The Lovely Month of May
"$3,774",The Gender Card Flip
"$3,423",Speed Sisters
"$3,352",Amanda & Jack Go Glamping
"$3,351",Bad Match
"$3,540",La Belle Noiseuse
"$3,482","Love, Sweat and Tears"
"$3,497",Who's Crazy?
"$4,153",Badsville
"$3,982",Emily
"$2,129,768",Train to Busan
"$3,669",Soul on a String
"$3,465",Dalida
"$4,176",Singularity
"$3,974",The Woman Who Left
"$5,088",Bad Lucky Goat
"$3,981",Dream Boat
"$4,550",A Boy Called Po
"$9,384",Miss Kiet's Children
"$4,252",My Father Die
"$4,526",Vengeance: A Love Story
"$4,392",30-LOVE
"$4,468",German Concentration Camps Factual Survey
"$4,661",I Love You Both
"$4,650",Shakespeare-Wallah
"$4,489",The Pulitzer at 100
"$11,603",The Tribes of Palos Verdes
"$4,663",Night School
"$5,510",Icaros: A Vision
"$5,539",Gold
"$4,701",Shot
